match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes,hub_dependence,cohesion_optimized
122881,Bayer 04 Leverkusen,1. FC Heidenheim 1846,4,1,win,3,0.5356021591961211,0.3298025150077242,1.0,0.5902160101651843,0.2223901116115756,16,130,0.5416666666666666,0.2406802721088435,Piero Hincapié,28,877,0.4097839898348157,0.49860786714024197
122882,Eintracht Frankfurt,SC Freiburg,0,0,draw,1,0.458440083802336,0.2977038582711345,0.8016877637130803,0.5704113924050633,0.1639573208200659,16,117,0.4875,0.2269841269841269,Ellyes Skhiri,11,613,0.42958860759493667,0.43010789328508436
122882,SC Freiburg,Eintracht Frankfurt,0,0,draw,1,0.4784530951114261,0.3315572842452904,0.8134328358208954,0.6493532338308458,0.1194690265486725,15,113,0.5380952380952381,0.1739141810570382,Noah Weißhaupt,8,486,0.35064676616915424,0.4336807686581095
122883,Borussia Dortmund,TSG 1899 Hoffenheim,3,1,win,3,0.5036177365940188,0.2884508362292127,1.0,0.5881696428571428,0.1378504672897196,16,107,0.4458333333333333,0.2356349206349206,Gregor Kobel,6,461,0.4118303571428572,0.46978501841500686
122883,TSG 1899 Hoffenheim,Borussia Dortmund,1,3,loss,0,0.4983897307433844,0.3520092614727831,0.7974683544303797,0.6238924050632911,0.2201889020070838,16,121,0.5041666666666667,0.1765873015873016,Ihlas Bebou,15,507,0.37610759493670887,0.4538067487852012
122884,Eintracht Frankfurt,VfL Wolfsburg,0,2,loss,0,0.5343828241586033,0.3262324669138098,0.9302325581395348,0.631359011627907,0.2497072599531616,16,122,0.5083333333333333,0.2523015873015873,Niels Nkounkou,11,456,0.368640988372093,0.47594124724291875
122884,VfL Wolfsburg,Eintracht Frankfurt,2,0,win,3,0.5254353413627821,0.2829870812664621,1.0,0.5859188544152745,0.232835429769392,16,106,0.4416666666666666,0.20640589569161,Yannick Gerhardt,16,548,0.41408114558472553,0.4768892554478791
122885,Bayer 04 Leverkusen,1. FSV Mainz 05,2,0,win,3,0.476390805293906,0.2911190639945794,1.0,0.5117260787992495,0.1027180783817951,16,113,0.4708333333333333,0.2663492063492063,Amine Adli,4,670,0.4882739212007505,0.4790724280155817
122885,1. FSV Mainz 05,Bayer 04 Leverkusen,0,2,loss,0,0.4954607454784498,0.3597121496538879,0.9063260340632604,0.6713807785888077,0.0444240196078431,16,136,0.5666666666666667,0.2116780045351474,Anthony Caci,5,549,0.32861922141119226,0.4601728685152222
122886,1. FC Köln,VfB Stuttgart,0,2,loss,0,0.5895512307023848,0.2946971843018009,1.0,0.6564564564564564,0.407051282051282,15,104,0.4952380952380952,0.2184589220303506,Rasmus Carstensen,19,444,0.34354354354354355,0.4895852518875602
122886,VfB Stuttgart,1. FC Köln,2,0,win,3,0.5637569662100429,0.3270178992973448,1.0,0.5894454382826475,0.3385645272601794,16,125,0.5208333333333334,0.225952380952381,Serhou Guirassy,27,653,0.4105545617173525,0.5089485866322931
122887,VfL Bochum,Borussia Mönchengladbach,1,3,loss,0,0.5166506422064221,0.426667952664543,0.3772189349112426,0.7928994082840237,0.4698162729658792,15,127,0.6047619047619047,0.2344322344322345,Anthony Losilla,28,515,0.20710059171597628,0.38568542611406653
122887,Borussia Mönchengladbach,VfL Bochum,3,1,win,3,0.6039660226893939,0.2798004094860981,0.90625,0.63359375,0.5962199312714777,16,97,0.4041666666666667,0.3571957671957672,Julian Weigl,33,376,0.36640625000000004,0.48104563537019684
122888,1. FC Union Berlin,1. FC Heidenheim 1846,0,1,loss,0,0.5638105008244728,0.3464056800555009,1.0,0.7222421203438396,0.1865942028985507,16,115,0.4791666666666667,0.2501133786848072,Christopher Trimmel,17,480,0.2777578796561604,0.4835259422660296
