match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes
122876,Borussia Dortmund,VfL Wolfsburg,1,0,win,3,0.5227916541408699,0.34266101514209807,0.9005376344086022,0.6024065540194572,0.24556141299332204,14,108,0.5934065934065934,0.26965811965811964,Felix Nmecha,21,674
122876,VfL Wolfsburg,Borussia Dortmund,0,1,loss,0,0.5112894047591593,0.2535101609754257,1.0,0.6131386861313868,0.17850877192982456,16,95,0.3958333333333333,0.29225812547241126,Lovro Majer,10,401
122877,TSG 1899 Hoffenheim,1. FC Union Berlin,2,0,win,3,0.5154204121068237,0.27402915021339724,0.8476027397260275,0.6102311643835616,0.32981859410430836,16,105,0.4375,0.23472222222222222,Mergim Berisha,13,434
122877,1. FC Union Berlin,TSG 1899 Hoffenheim,0,2,loss,0,0.5561611814208901,0.3336443855770868,0.7820197044334976,0.6488608374384237,0.4601197982345524,16,122,0.5083333333333333,0.14890022675736964,Janik Haberer,25,542
122878,Borussia Mönchengladbach,RasenBallsport Leipzig,0,1,loss,0,0.5060742643198779,0.30139627053303114,0.701058201058201,0.6615410052910053,0.3603015803972742,16,121,0.5041666666666667,0.14993386243386242,Julian Weigl,18,500
122878,RasenBallsport Leipzig,Borussia Mönchengladbach,1,0,win,3,0.5383523292043559,0.3344043585122626,1.0,0.5787271805273834,0.24027777777777776,16,120,0.5,0.17709474388045818,Benjamin Henrichs,13,614
122879,1. FSV Mainz 05,FC Augsburg,1,2,loss,0,0.4999667002435807,0.3519640806795161,0.670045045045045,0.6739864864864865,0.3038711887632751,16,139,0.5791666666666667,0.2701587301587302,Jae-sung Lee,20,603
122879,FC Augsburg,1. FSV Mainz 05,2,1,win,3,0.4683721502523089,0.2500056046654621,0.7971014492753623,0.5661231884057971,0.260258358662614,16,94,0.39166666666666666,0.2466609977324263,Ermedin Demirovic,8,436
122880,1. FC Köln,SV Werder Bremen,1,2,loss,0,0.536671566631907,0.3089517576109495,1.0,0.6294938917975568,0.20824061711912176,15,107,0.5095238095238095,0.22111459968602826,Davie Selke,12,548
122880,SV Werder Bremen,1. FC Köln,2,1,win,3,0.6360212447279707,0.3054420988311414,0.9826589595375723,0.6781069364161849,0.5778769841269842,16,108,0.45,0.2227664399092971,Jens Stage,29,492
122881,1. FC Heidenheim 1846,Bayer 04 Leverkusen,1,4,loss,0,0.4923949998738452,0.3188845139048426,0.9386973180076629,0.6757662835249042,0.03623188405797101,16,115,0.4791666666666667,0.12191609977324265,Florian Pick,2,384
122881,Bayer 04 Leverkusen,1. FC Heidenheim 1846,4,1,win,3,0.5356021591961211,0.3298025150077242,1.0,0.5902160101651843,0.22239011161157562,16,130,0.5416666666666666,0.2406802721088435,Piero Hincapié,28,877
122882,Eintracht Frankfurt,SC Freiburg,0,0,draw,1,0.45844008380233603,0.29770385827113455,0.8016877637130803,0.5704113924050633,0.16395732082006595,16,117,0.4875,0.22698412698412698,Ellyes Skhiri,11,613
122882,SC Freiburg,Eintracht Frankfurt,0,0,draw,1,0.4784530951114261,0.33155728424529046,0.8134328358208954,0.6493532338308458,0.11946902654867259,15,113,0.5380952380952381,0.1739141810570382,Noah Weißhaupt,8,486
122883,Borussia Dortmund,TSG 1899 Hoffenheim,3,1,win,3,0.5036177365940188,0.2884508362292127,1.0,0.5881696428571428,0.13785046728971964,16,107,0.44583333333333336,0.23563492063492067,Gregor Kobel,6,461
122883,TSG 1899 Hoffenheim,Borussia Dortmund,1,3,loss,0,0.4983897307433844,0.3520092614727831,0.7974683544303797,0.6238924050632911,0.2201889020070838,16,121,0.5041666666666667,0.17658730158730163,Ihlas Bebou,15,507
122884,Eintracht Frankfurt,VfL Wolfsburg,0,2,loss,0,0.5343828241586033,0.3262324669138098,0.9302325581395349,0.631359011627907,0.2497072599531616,16,122,0.5083333333333333,0.2523015873015873,Niels Nkounkou,11,456
122884,VfL Wolfsburg,Eintracht Frankfurt,2,0,win,3,0.5254353413627821,0.28298708126646216,1.0,0.5859188544152745,0.23283542976939203,16,106,0.44166666666666665,0.20640589569161,Yannick Gerhardt,16,548
122885,Bayer 04 Leverkusen,1. FSV Mainz 05,2,0,win,3,0.47639080529390604,0.29111906399457943,1.0,0.5117260787992495,0.10271807838179518,16,113,0.4708333333333333,0.26634920634920634,Amine Adli,4,670
122885,1. FSV Mainz 05,Bayer 04 Leverkusen,0,2,loss,0,0.4954607454784498,0.3597121496538879,0.9063260340632604,0.6713807785888077,0.04442401960784313,16,136,0.5666666666666667,0.2116780045351474,Anthony Caci,5,549
122886,1. FC Köln,VfB Stuttgart,0,2,loss,0,0.5895512307023848,0.2946971843018009,1.0,0.6564564564564564,0.40705128205128205,15,104,0.49523809523809526,0.2184589220303506,Rasmus Carstensen,19,444
122886,VfB Stuttgart,1. FC Köln,2,0,win,3,0.5637569662100429,0.3270178992973448,1.0,0.5894454382826475,0.33856452726017944,16,125,0.5208333333333334,0.225952380952381,Serhou Guirassy,27,653
